Endoxyla;lituratus (Don.);Cossidae;Lep;;Au;Australia (DeFoliart 2002);see Endoxyla liturata;
Xyleutes syn;amphiplecta Turner;Cossidae;Lep;;Au;Australia (DeFoliart 2002);syn ? Endoxyla;larva
Xyleutes syn;biarpiti Tindale;Cossidae;Lep;;Au;Australia (DeFoliart 2002);see Endoxyla;larva
Xyleutes syn;boisduvali Rothschild syn;Cossidae;Lep;;Au;Australia (DeFoliart 2002);see Endoxyla cinereus;larva
Xyleutes syn;encalypti H.-S.;Cossidae;Lep;;Au;Australia (DeFoliart 2002);see Endoxyla;larva
Xyleutes syn;leucomochla Turner;Cossidae;Lep;witjuti grub;Au;Australia (DeFoliart 2002, Yen 2015);syn ? Endoxyla;larva
Xyleutes syn;liturata Don.;Cossidae;Lep;;Au;Australia (DeFoliart 2002);syn ? Zeuzera liturata;larva
Panacela sp.;;Eupterotidae;Lep;bagshelter moths;Au;Australia (DeFoliart 2002);;larva
Abantiades;marcidus Tindale;Hepialidae;Lep;bardi grub;Au;Australia (DeFoliart 2002);;larva pupa adult
Anetus;virescens (Doubleday);Hepialidae;Lep;puriri moths;Au;New Zealand (Meyer-Rochow &;;larva
Oxycanus sp.;;Hepialidae;Lep;;Au;Australia (DeFoliart 2002);;larva pupa adult
Trictena;argyrosticha Turner;Hepialidae;Lep;;Au;Australia (DeFoliart 2002);;larva pupa adult
Trictena;atripalpis Walker;Hepialidae;Lep;bardi grub;Au;Australia (DeFoliart 2002);syn T. argentata;larva pupa adult
Trictena syn;argentata H.-S.;Hepialidae;Lep;;Au;Australia (DeFoliart 2002);see T. atripalpis;larva pupa adult
Agrotis;infusa (Boisd.);Noctuidae;Lep;bogong moths;Au;Australia (DeFoliart 2002, Yen 2015);;adult
Ochrogaster;lunifer H.-S.;"Notodontidae
Thaumetopoeinae";Lep;"processionary
caterpillar";Au;Australia (Yen 2005);;
Coenotes;eremophilae (Lucas);Sphingidae;Lep;;Au;Australia (DeFoliart 2002);;
Hyles;livornicoides Lucas;Sphingidae;Lep;;Au;Australia (DeFoliart 2002);;larva
Sphingidae gen.;;Sphingidae;Lep;;Au;P.N.G. (DeFoliart 2002);;adult
Nyctalemon;patroclus goldiei Druce;Uranidae;Lep;;Au;Papua (Ramanday et al 2010);;
Libellulidae gen.;;Libellulidae;Odonata;;Au;P.N.G. (DeFoliart 2002);;larva
Zygoptera gen.;;;"Odonata
Zygoptera";;Au;P.N.G. (DeFoliart 2002);;larva
Chortoicetes;terminifera (Walker);Acrididae;Orth;"Australian plague
locust";Au;Australia (DeFoliart 2002);;
Locusta;migratoria (L.);Acrididae;Orth;migratory locust;Au;P.N.G. (DeFoliart 2002);;
Valanga;irregularis (Walk.);Acrididae;Orth;large coast locust;Au;P.N.G. (DeFoliart 2002);;
Gryllacridae gen.;;Gryllacridae;Orth;;Au;P.N.G. (DeFoliart 2002);;
Teleogryllus;commodus (Walker);Gryllacridae;Orth;;Au;Australia P.N.G. (DeFoliart 2002);;
Gryllotalpa sp.;;Gryllotalpidae;Orth;;Au;P.N.G. (DeFoliart 2002);;
Caedicia sp.;;Tettigoniidae;Orth;;Au;P.N.G. (DeFoliart 2002);;
Eurycantha;horrida Boisduval;Phasmatidae;Phasmida;;Au;P.N.G. (DeFoliart 2002);;
Extatosoma;tiaratum (MacLeay);Phasmatidae;Phasmida;"giant prickly stick
insect";Au;P.N.G. (DeFoliart 2002);;
Algarobius sp.;;Bruchidae;Col;seed beetles;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Neltumius sp.;;Bruchidae;Col;seed beetles;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Ergates;spiculatus Lec.;Cerambycidae;Col;pine sawyer beetle;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Monochames;maculosus Hald.;Cerambycidae;Col;spotted pine sawyer;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Monochames;scutellatus (Say);Cerambycidae;Col;"white-spotted
sawyer";"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Neoclytus;conjunctus (LeConte);Cerambycidae;Col;western ash borer;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Prionus;californicus Motsch.;Cerambycidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva adult
Rhagium;lineatum (Ol.);Cerambycidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Xylotrechus;nauticus (Mann.);Cerambycidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Rhynchophorus;cruentatus (F.);Curculionidae;Col;palmetto weevil;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Cybister;ellipticus Le Conte;Dytiscidae;Col;;"Nearcti
c";USA (Ramos et al 2009);;
Cybister;explanatus LeConte;Dytiscidae;Col;;"Nearcti
c";"N. Am. (DeFoliart 2002, Ramos et al
2009)";;adult
Cyclocephala;borealis Arrow;Scarabaeidae;Col;"northern masked
chafer";"Nearcti
c";N. Am. (DeFoliart 2002);syn C. villosa Burm.;adult
Cyclocephala;dimidiata Burmeister syn;Scarabaeidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);see C. melanocephala (F.);adult
Cyclocephala;melanocephala (F.);Scarabaeidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);syn C. dimidiata Burm.;adult
Cyclocephala;villosa Burm. syn;Scarabaeidae;Col;;"Nearcti
c";N. Am. (DeFoliart 2002);see C. borealis Arrow;adult
Phyllophaga;fusca (Froelich);Scarabaeidae;Col;northern june beetle;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Polyphylla;crinita LeConte;Scarabaeidae;Col;ten-lined june beetle;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Ephydra;cinerea Jones;Ephydridae;Dipt;shore fly;"Nearcti
c";N. Am. (DeFoliart 2002);;pupa
Ephydra;hians Say;Ephydridae;Dipt;alcali fly;"Nearcti
c";"N. Am. (DeLong 1960, DeFoliart
2002)";? syn Hydropyrus hians;pupa
Ephydra;macellaria Egger;Ephydridae;Dipt;shore fly;"Nearcti
c";N. Am. (DeFoliart 2002);;pupa
Hydropyrus syn;hians Say;Ephydridae;Dipt;shore fly;"Nearcti
c";N. Am. (DeFoliart 2002);see Ephydra hians;pupa
Cuterebra sp.;;Oestridae;Dipt;bot fly warble fly;"Nearcti
c";Canada (Schrader et al 2016);;larva
Hypoderma;bovis (L.);Oestridae;Dipt;bot fly warble fly;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Hypoderma;lineatum (Viller);Oestridae;Dipt;warble fly;"Nearcti
c";Canada (Schrader et al 2016);;larva
Hypoderma;tarandi (L.);Oestridae;Dipt;reindeer warble fly;"Nearcti
c";N. Am. (DeFoliart 2002);"syn Oedemagena tarandi
(L.)";larva
Oedemagena syn;tarandi (L.);Oestridae;Dipt;reindeer warble fly;"Nearcti
c";N. Am. (Schrader et al 2016);see Hypoderma tarandi (L.);
Atherix sp.;;Rhagionidae;Dipt;snipe fly;Nearcti c;N. Am. (DeFoliart 2002);;egg masses adult
Holorusia;hespera Arnaud & B.;Tipulidae;Dipt;"giant western crane
fly";"Nearcti
c";N. Am. (DeFoliart 2002);"syn Holorusia rubiginosa
Loew";larva
Holorusia;rubiginosa Loew syn;Tipulidae;Dipt;"giant western crane
fly";"Nearcti
c";N. Am. (DeFoliart 2002);see H. hespera;larva
Tipula;derbyi Doane;Tipulidae;Dipt;crane fly;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Tipula;quaylii Doane;Tipulidae;Dipt;crane fly;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Tipula;simplex Doane;Tipulidae;Dipt;crane fly;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Lethocerus;americanus (Leidy);Belostomatidae;Hem Het;eastern toe biter;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Hyalopterus;pruni (Geoffr.);Aphididae;Hem Hom;mealy plum aphid;"Nearcti
c";N. Am. (DeFoliart 2002);;honeydew
Diceroprocta;apache (Davis);Cicadidae;Hem Hom;Apache cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph adult
Magicicada;cassini (Fisher);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Magicicada;septemdecim (L.);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";"N. Am. (DeFoliart 2002, Schrader et
al 2016)";syn Tibicen septemdecim;nymph
Magicicada;septendecula (A. & M.);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Magicicada;tredecassini ( A. & M.);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Magicicada;tredecim (Riley);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Magicicada;tredecula (A. & M.);Cicadidae;Hem Hom;periodic cicada;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Okanagana;bella Davis;Cicadidae;Hem Hom;;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Okanagana;cruentifera (Uhler);Cicadidae;Hem Hom;;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Platypedia;areolata (Uhler);Cicadidae;Hem Hom;;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Anthophora sp.;;Apidae;Hym;digger bee;"Nearcti
c";N. Am. (DeFoliart 2002);;honey
Bombus;appositus Cresson;Apidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Bombus;nevadensis Cresson;Apidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Bombus;"terricola occidentalis
Greene";Apidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Bombus;vosnesenskii Radoszk.;Apidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Cynipidae gen.;;Cynipidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;oak galls
Camponotus;maculatus (F.);Formicidae;Hym;;"Nearcti
c";USA (Schrader et al 2016);;adult
Camponotus;pennsylvanicus De Geer;Formicidae;Hym;;"Nearcti
c";N. Am. (Schrader et al 2016);;
Camponotus sp.;;Formicidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva adult
Formica sp.;;Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Lasius sp.;;Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Myrmecocystus;melliger Forel;Formicidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;honeypots
Myrmecocystus;mexicanus Wesmael;Formicidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;honeypots
Pogonomyrmex;californicus (Buckley);Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Pogonomyrmex;desertorum Wheeler;Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Pogonomyrmex;occidentalis (Cresson);Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Pogonomyrmex;owyheei Cole syn;Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);see P. salinus;larva pupa adult
Pogonomyrmex;salinus Olsen;Formicidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);syn P. owuheei;
Pogonomyrmex sp.;;Formicidae;Hym;;Nearcti c;N. Am. (DeFoliart 2002);;larva pupa adult
Vespula;arenaria (F.);Vespidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);syn V. diabolica (Saussure);larva pupa
Vespula;diabolica Saussure syn;Vespidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);see V. arenaria (F.);larva pupa
Vespula;pennsylvanica (Saussure);Vespidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Vespula sp.;;Vespidae;Hym;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Reticulitermes;tibialis Banks;Rhinotermitidae;Isopt;;"Nearcti
c";N. Am. (DeFoliart 2002);;
Arctia;caja americana Harris;Arctiidae;Lep;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Megathymus;yuccae Boisd. & LeC.;Hesperiidae;Lep;giant skippers;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Malacosoma sp.;;Lasiocampidae;Lep;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Helicoverpa;zea (Boddie);Noctuidae;Lep;American bollworm;"Nearcti
c";N. Am. (DeFoliart 2002);syn Heliothis zea;larva
Heliothes syn;zea (Boddie);Noctuidae;Lep;;"Nearcti
c";N. Am. (DeFoliart 2002);see Helicoverpa zea;larva
Homoncocnemis;fortis (Grote);Noctuidae;Lep;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Spodoptera;frugiperda (Smith);Noctuidae;Lep;black army worm;"Nearcti
c";N. Am. (DeFoliart 2002);;
Coloradia;pandora Blake;Saturniidae;Lep;pandora moth;"Nearcti
c";"N. Am. California (Blake & Wagner
1987, DeFoliart 2002)";;larva pupa
Hyalophora;euryalus (Boisd.);Saturniidae;Lep;;"Nearcti
c";N. Am. (DeFoliart 2002);;larva pupa
Hyles;lineata (F.);Sphingidae;Lep;white lined sphinx;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Manduca;sexta (L.);Sphingidae;Lep;tobacco hornworm;"Nearcti
c";N. Am. (DeFoliart 2002);;larva
Rhionaeschna;multicolor (Hagen);Aeschnidae;Odonata;;"Nearcti
c";N. Am. (DeFoliart 2002);;nymph
Arphia;pseudonietana (Thomas);Acrididae;Orth;;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Camnula;pellucidae (Scudder);Acrididae;Orth;"clear-winged
grasshopper";"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;bivittatus (Say);Acrididae;Orth;"two-striped
grasshopper";"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;devastator Scudder;Acrididae;Orth;;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;differentialis (Thomas);Acrididae;Orth;;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;femurrubrum (DeGeer);Acrididae;Orth;"red-legged
grasshopper";"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;sanguinipes (F.);Acrididae;Orth;"lesser migratory
grasshopper";"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Melanoplus;spretus (Walsh);Acrididae;Orth;"Rocky Mountain
grasshopper";"Nearcti
c";USA Canada (Yen 2015);"exctinct probably
consumed";
Melanoplus sp.;;Acrididae;Orth;;"Nearcti
c";N. Am. (DeFoliart 2002);;
Oedaleonotus;enigma (Scudder);Acrididae;Orth;valley grasshopper;"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Schistocerca;shoshone (Thomas);Acrididae;Orth;"green valley
grasshopper";"Nearcti
c";N. Am. (DeFoliart 2002);;adult
Stenopelmatus;fuscus Haldeman;Gryllacrididae;Orth;Jerusalem cricket;"Nearcti
c";N. Am. (DeFoliart 2002);;
Gryllus;assimilis (F.);Gryllidae;Orth;;"Nearcti
c";N. Am. (DeFoliart 2002);;
Anabrus;simplex Haldeman;Tettigoniidae;Orth;"mormon bush
cricket";"Nearcti
c";N. Am. (DeFoliart 2002);;nymph adult
Isoperla sp.;;Perlodidae;Plecop;;"Nearcti
c";N. Am. (DeFoliart 2002);;
Pteronarcys;californica Newport;Pteronarcydae;Plecop;California salmonfly;"Nearcti
c";USA (Schrader et al 2016);;adult
Heteropoda;venatoria Latreille;Sparassidae;Araneae;"brown huntsman
spider";Neotrop;Venezuela (Araujo & Beserra 2007);;adulr
Holothele;"waikoshiemi Bertani &
Araújo";Therahosidae;Araneae;bird eather spider;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Theraphosa;blondi (Latreille);Therahosidae;Araneae;bird eather spider;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Theraphosidae gen.;;Therahosidae;Araneae;bird eather spider;Neotrop;Paraguay (Bodenheimer 1951);;
Euchroma;gigantea L.;Bupestidae;Col;Ceiba borer beetle;Neotrop;"Colombia (De Foliart 2002, Dufour
1987) Mexico (Ramos 2004) Brazil";;larva adult
Chalcophora sp.;;Bupestidae;Col;;Neotrop;Mexico (DeFoliart 2002 Ramos;;larva
Cicindela;curvata Chevr.;Carabidae;Col;tiger beetle;Neotrop;"Mexico (DeFoliart 2002; Ramos";;larva
Cicindela;roseiventris Chevr.;Carabidae;Col;tiger beetle;Neotrop;"Mexico (DeFoliart 2002; Ramos";;larva
Acrocinus;longimanus (L.);Cerambycidae;Col;harlequin beetle;Neotrop;"Colombia (DeFoliart 2002, Dufour 1987); Mexico (Ramos 2004)";;larva pupa adult
Ancylonotus;tribulus (F.);Cerambycidae;Col;;Neotrop;South America (DeFoliart 2002);;larva
Aplagionathus;spinosus (Newman);Cerambycidae;Col;;Neotrop;"Mexico (DeFoliart 2002; Ramos 2004)";;larva pupa adult
Aplagionathus sp.;;Cerambycidae;Col;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart 2002; Ramos 2004)";;larva pupa adult
Arhopalus;c.f. rusticus (L.);Cerambycidae;Col;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;larva pupa
Arhopalus;"rusticus montanus
(LeConte)";Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Arhopalus sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Callipogon;barbatus (F.);Cerambycidae;Col;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart 2002; Ramos 2004)";C. barbatum is misspelling;larva pupa adult
Callipogon sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos et al 2008);;larva
Cerambyx sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa adult
Cisa sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;
Cyllene sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Derobrachus;procerus Thomson;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa adult
Derobrachus sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos et al 1998, Ramos & Pino Mereno 2002);;larva pupa adult
Eburia;stigmatica Chevr.;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Hevorodon;maxillosum (Drury);Cerambycidae;Col;;Neotrop;Mexico (Ramos 2006);"syn Stenodontes
maxillosus (Drury)";
Lagocheirus;rogersi (Bates);Cerambycidae;Col;;Neotrop;"Mexico (DeFoliart 2002; Mexico (Ramos 2004)";;larva pupa adult
Macrodontia;cervicornis (L.);Cerambycidae;Col;;Neotrop;"Brazil Guyana Paraguay West Indies
Jamaica (DeFoliart 2002) Ecuador";;larva
Mallodon;molarius Bates;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);"syn Stenodontes
maxillosus (Drury)";larva pupa
Mallodon sp.;sp. cer. molarius Bates;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);syn Stenodontes;larva pupa
Nothopleurus;cer. maxillosus (Drury);Cerambycidae;Col;;Neotrop;"Mexico (DeFoliart 2002; Ramos
2004)";cer. (near N. maxillosus;larva pupa
Nothopleurus;maxillosus (Drury);Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);"syn Stenodontes
maxillosus (Drury)";larva pupa
Oncideres sp.;;Cerambycidae;Col;Mesquite girdler;Neotrop;Ecuador (Onore 2005);;
Ornithia;mexicana (Sturm);Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Polyraphis sp.;;Cerambycidae;Col;;Neotrop;"Mexico (Ramos et al 1998, Ramos
2004)";;larva pupa
Prionacalus;atys White;Cerambycidae;Col;;Neotrop;Ecuador (Onore 2005);;
Prionacalus;cacicus White;Cerambycidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Prosopocera sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa adult
Psalidognathus;erythrocerus Reiche;Cerambycidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Psalidognathus;modestus Fries;Cerambycidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Stenodontes;damicornis (L.);Cerambycidae;Col;;Neotrop;"Brazil Guyana West Indies
(DeFoliart 2002)";syn Prionus damicornis F.;larva
Stenodontes sp.;;Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Stenodontes syn;maxillosus (Drury);Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);"see Hovorodon maxillosum
(Drury)";larva pupa
Stenodontes syn;molarius (Bates);Cerambycidae;Col;;Neotrop;Mexico (Ramos 2004);see Mallodon;larva pupa
Trichoderes;pini Chevr.;Cerambycidae;Col;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart 2002; Ramos 2004)";;larva pupa adult
Blepharida;mexicana Jacoby;Chrysomelidae;Col;;Neotrop;Mexico (Ramos 2004);;adult
Blepharida sp.;;Chrysomelidae;Col;;Neotrop;Mexico (Ramos 2004);;adult
Lactica sp.;;Chrysomelidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Leptinotarsa;decemlineata Say;Chrysomelidae;Col;;Neotrop;"Mexico (DeFoliart 2002; Ramos";;larva
Pachymerus sp.;;Chrysomelidae;Col;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Bruchinae gen.;;"Chrysomelidae
Bruchinae";Col;;Neotrop;Brazil Venezuela (DeFoliart 2002);;larva
Caryoborus;serripes (Sturm);"Chrysomelidae
Bruchinae";Col;;Neotrop;Choo 2008;;larva
Caryobruchus sp.;(scheelaea Bridwell?);"Chrysomelidae
Bruchinae";Col;palm seed bruchid;Neotrop;Colombia (DeFoliart 2002);;larva
Caryobruchus sp.;;"Chrysomelidae
Bruchinae";Col;;Neotrop;"Colombia Venezuela (Ruddle 1973)
Brazil (Costa Neto & Ramos 2006)";;larva
Pachymerus;cardo (Fahr.);"Chrysomelidae
Bruchinae";Col;;Neotrop;"Choo 2008, Brazil (Costa Neto &
Ramos 2006)";;larva
Pachymerus;nucleorum (F.);"Chrysomelidae
Bruchinae";Col;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Speciomerus;giganteus (Chevrolat);"Chrysomelidae
Bruchinae";Col;;Neotrop;Choo 2008;;larva
Anthonomus sp.;;Curculionidae;Col;;Neotrop;Colombia Venezuela (Ruddle 1973,;;adult
Cosmopolites;sordidus (Germar);Curculionidae;Col;;Neotrop;Ecuador (Onore 2005);;adult
Scyphophorus;acupunctatus Gyll. syn;Curculionidae;Col;agave weevil;Neotrop;Mexico (DeFoliart 2002);"see S. interstitialis
Dryophthoridae";larva pupa
Scyphophorus;interstitialis Gyll.;Curculionidae;Col;"agave weevil sisal
weevil";Neotrop;"Mexico (DeFoliart 2002; Ramos
2004, 2006, Cerritos 2009)";Dryophthoridae;larva pupa
Scyphophorus sp.;;Curculionidae;Col;agave weevil;Neotrop;Mexico (Ramos et al 1998);;
Dynamis;borassi (F.);"Curculionidae
Dryophthorinae";Col;;Neotrop;Ecuador (Onore 2005);syn D. perryi Wattanap.;larva pupa
Dynamis;nitidulus (Guérin);"Curculionidae
Dryophthorinae";Col;;Neotrop;Ecuador (Onore 2005);;larva pupa
Metamasius;cinnamominus Champ.;"Curculionidae
Dryophthorinae";Col;;Neotrop;Ecuador (Onore 2005);;adult
Metamasius;dimidiatipennis (Jekel);"Curculionidae
Dryophthorinae";Col;;Neotrop;Ecuador (Onore 2005);;adult
Metamasius;hemipterus (L.);"Curculionidae
Dryophthorinae";Col;;Neotrop;"Ecuador (Onore 2005) Peru (Casas-
Reategui et al 2016)";syn M. sericeus Ol.;adult
Metamasius;spinolae (Gyll.);"Curculionidae
Dryophthorinae";Col;cactus weevil;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002; Ramos 2004, 2006)";Dryophthoridae;larva pupa
Metamasius sp.;;"Curculionidae
Dryophthorinae";Col;;Neotrop;Venezuela (Araujo & Beserra 2007);;larva
Rhinostomus;barbirostris (F.);"Curculionidae
Dryophthorinae";Col;bearded weevil;Neotrop;"Brazil (Costa Neto & Ramos 2006)
Peru (Casas-Reategui et al 2016";;larva
Rhynchophorus;cruentatus Fabr.;"Curculionidae
Dryophthorinae";Col;palmetto weevil;Neotrop;Mexico (Ramos 2004);;larva
Rhynchophorus;palmarum (L.);Curculionidae Dryophthorinae;Col;South American palm weevil;Neotrop;"pan-regional West Indies Barbados Trinidad Mexico (DeFoliart 2002; Ramos 2004, 2009) Brazil (Costa &
Ramos 2006) Ecuador (Onore 2005)
Venezuela (Araúja & Beserra 2007)";;larva pupa
Rhynchophorus sp.;;"Curculionidae
Dryophthorinae";Col;"South American
palm weevil";Neotrop;Colombia (Dufour 1987);;larva adult
Cybister;explanatus LeConte;Dytiscidae;Col;;Neotrop;Mexico (DeFoliart 2002, Ramos 2004);;larva pupa adult
Cybister;fimbriolatus (Say);Dytiscidae;Col;;Neotrop;Mexico (Ramos 2002);;larva adult
Cybister;flavocinctus Aubé;Dytiscidae;Col;;Neotrop;"Mexico (Ramos et al 1998, Ramos
2004, Ramos et al 2009)";;larva adult
Cybister;occidentalis Aubé;Dytiscidae;Col;;Neotrop;"Mexico (Ramos 2004, Ramos et al
2009)";not in Africa and China;larva adult
Cybister sp.;;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Dytiscus;habilis Say;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Dytiscus;marginicollis LeConte;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Dytiscus sp.;;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Laccophilus;apicalis Sharp syn;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);see L. fasciatus Aubé;larva
Laccophilus;fasciatus Aubé;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);syn L. apicalus Sharp;larva
Laccophilus sp.;;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Megadytes;giganteus (Laporte);Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Megadytus sp.;;Dytiscidae;Col;;Neotrop;"Mexico (Ramos et al 1998, Ramos
2004)";;larva adult
Rhantus;atricolor (Aubé);Dytiscidae;Col;;Neotrop;"Mexico (Ramos et al 1998, Ramos
2004, Ramos et al 2009)";;larva adult
Rhantus;consimilis Motsch.;Dytiscidae;Col;;Neotrop;"Mexico (Ramos 2004, Ramos et al
2009)";;larva adult
Rhantus sp.;;Dytiscidae;Col;;Neotrop;"Mexico (DeFoliart 2002; Ramos
2004, Ramos et al 2009)";;larva adult
Thermonectus;basilaris (Harris);Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Thermonectus;marmoratus (Gray);Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Thermonetus sp.;;Dytiscidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Chalcolepidius;lafargi Chevrolat;Elateridae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";M;larva adult
Chalcolepidius;rugatus Cand.;Elateridae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";M;larva adult
Deilelater;mexicanus (Champ.);Elateridae;Col;;Neotrop;Mexico (Ramoa 2004);"syn ? Pyrophorus
mexicanus Champ.";larva
Lacon;mexicana Cand.;Elateridae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";M;larva adult
