Rhynchophorus;phoenicis (Fabr.);Dryophthoridae;Col;African palm weevil;Afr;"Angola (Santos Oliveira et al., 1976), Benin (Tchibozo et al 2005), Cameroun (Bodenheimer, 1951), CAR (Hoare 2007) D. R. Congo (Hoare 2007), Congo (Bani, 1995;
Nkouka, 1987; Takeda, 1990, Hoare
2007), Nigeria (Fasoranti & Ajiboye,";;larva
Rhynchophorus sp.;;Dryophthoridae;Col;palm weevil;Afr;Madagascar (Bodenheimer, 1951);;
Cybister;distinctus Reg.;Dytiscidae;Col;water beetle;Afr;Senegal Sierra Leone D. R. Congo;;
Cybister;hova Alluaud syn;Dytiscidae;Col;water beetle;Afr;Madagascar (Decary, 1937);see Cybister owas Laporte;
Cybister;owas Laporte;Dytiscidae;Col;water beetle;Afr;Madagascar (Decary, 1937);Cybister hova Alluaud, hova Fairm.?;adult
Cybister sp.;;Dytiscidae;Col;water beetle;Afr;Benin (Riggi et al 2013), Togo;;
Eretes;sticticus (L.);Dytiscidae;Col;water beetle;Afr;Kenya (Ramos et al 2009);;adult
Rhantus;latus (Fairm.);Dytiscidae;Col;waterbeetle;Afr;Madagascar (Ramos et al 2009);;
Elateridae gen.;;Elateridae;Col;click beetle;Afr;Botswana (DeFoliart 2002);;
Tetralobus;flabellicornis (L.);Elateridae;Col;"giant acacia click
beetle";Afr;Central Africa (Bodenheimer, 1951);;larva
Hydrophilus;senegalensis (Percheron);Hydrophilidae;Col;"water scavenger
beetle";Afr;Senegal (Ramos et al 2009);;
Hydrophilus sp.;;Hydrophilidae;Col;"water scavenger
beetle";Afr;Togo Benin (Tchibozo 2015);;
Cladognathus;serricornis (Latr.) syn;Lucanidae;Col;stag beetle;Afr;Madagascar (Decary, 1937);"Prosopocoilus serricornis
(Latr.)";
Prosopocoilus;serricornis (Latr.);Lucanidae;Col;stag beetle;Afr;Madagascar (Decary, 1937);;larva
Passalidae gen.;;Passalidae;Col;bess beetle;Afr;Madagascar (Bodenheimer, 1951);from palm;
Augosoma;centaurus (Fabr.);Scarabaeidae Dynastinae;Col;rhinoceros beetles;Afr;"Cameroun (Bodenheimer, 1951),
Congo (Bani, 1995, Nkouka, 1987, Hoare, 2007), D.R. Congo (Takeda,";;larva
Brachylepis;bennigseni Brenske syn;"Scarabaeidae
Melolonthinae";Col;;Afr;Cameroun (Seignobos et al 1996);see B. elephas;
Brachylepis;elephas (Gerstaecker);Scarabaeidae Melolonthinae;Col;;Afr;Cameroun (Seignobos et al 1996);syn B. bennigseni Brenske. (B. bennigseri = misspelling);
